"","Code","Intervention","DA","CA"
"1",1,"All smoking interventions",8985,42530.0000000001
"2",1.1,"Develop and conduct public awareness interventions that discourage non- smoking youths from initiating tobacco use",78.02,1773.80000000006
"3",1.2,"Impose plain packaging for e-cigarettes
and e-liquids",517.89,2197.30000000006
"4",1.3,"Implement media campaigns to raise awareness about the dangers of tobacco use",1474.4,7425.00000000006
"5",1.4,"Expand Restrictions on Tobacco Advertising in all Social Media platforms",61.01,1385.90000000006
"6",1.5,"Enforce the prohibition of smoking in indoor workplaces and public places",1120.8,4751.00000000006
"7",1.6,"Design And Implement Second hand Smoking Child Protection Policy",6.824,648.3
"8",1.7,"Increase Taxes On Smoked Tobacco Products",6991,35300.0000000001
"9",1.8,"Design and implement Tobacco Health Counselor Training Programs",1120.8,4751.00000000006
"10",1.9,"Design and implement Tobacco Cessation Services Enhancement Program",1120.8,4751.00000000006
