"","year","Code","Intervention","Deaths.Averted","Cumulative.DA","Cases.Averted","Cumulative.CA"
"1",2023,1,"All smoking interventions",0,0,5.82076609134674e-11,5.82076609134674e-11
"2",2024,1,"All smoking interventions",0,0,192.701644097804,192.701644097862
"3",2025,1,"All smoking interventions",5.65204683736374,5.65204683736374,403.23808562092,595.939729718782
"4",2026,1,"All smoking interventions",16.0688304405048,21.7208772778686,630.833308767295,1226.77303848608
"5",2027,1,"All smoking interventions",31.2792914076999,53.0001686855685,874.611635137233,2101.38467362331
"6",2028,1,"All smoking interventions",51.4873860909429,104.487554776511,1133.77270701935,3235.15738064266
"7",2029,1,"All smoking interventions",76.9154708225251,181.403025599036,1410.00709506124,4645.1644757039
"8",2030,1,"All smoking interventions",108.005500219966,289.408525819003,1700.64726196334,6345.81173766725
"9",2023,1.1,"Develop and conduct public awareness interventions that discourage non- smoking youths from initiating tobacco use",0,0,5.82076609134674e-11,5.82076609134674e-11
"10",2024,1.1,"Develop and conduct public awareness interventions that discourage non- smoking youths from initiating tobacco use",0,0,5.05770866794046,5.05770866799867
"11",2025,1.1,"Develop and conduct public awareness interventions that discourage non- smoking youths from initiating tobacco use",0.030773809630773,0.030773809630773,10.6934179669479,15.7511266349466
"12",2026,1.1,"Develop and conduct public awareness interventions that discourage non- smoking youths from initiating tobacco use",0.0939675340341637,0.124741343664937,16.9219165593386,32.6730431942851
"13",2027,1.1,"Develop and conduct public awareness interventions that discourage non- smoking youths from initiating tobacco use",0.192838369475794,0.317579713140731,23.7615033176262,56.4345465119113
"14",2028,1.1,"Develop and conduct public awareness interventions that discourage non- smoking youths from initiating tobacco use",0.333267968060682,0.650847681201412,31.2683275325689,87.7028740444803
"15",2029,1.1,"Develop and conduct public awareness interventions that discourage non- smoking youths from initiating tobacco use",0.521853498983546,1.17270118018496,39.4686378627084,127.171511907189
"16",2030,1.1,"Develop and conduct public awareness interventions that discourage non- smoking youths from initiating tobacco use",0.766111064134748,1.93881224431971,48.3863959420705,175.557907849259
"17",2023,1.2,"Impose plain packaging for e-cigarettes
and e-liquids",0,0,5.82076609134674e-11,5.82076609134674e-11
"18",2024,1.2,"Impose plain packaging for e-cigarettes
and e-liquids",0,0,0.453720384277403,0.453720384335611
